,name,car_name,car_type,is_test
1,00002_Acura TL Sedan 2012.jpg,Acura TL Sedan 2012,Midsize,0
2,00003_Dodge Dakota Club Cab 2007.jpg,Dodge Dakota Club Cab 2007,Large,0
3,00004_Hyundai Sonata Hybrid Sedan 2012.jpg,Hyundai Sonata Hybrid Sedan 2012,Midsize,0
6,00007_Dodge Journey SUV 2012.jpg,Dodge Journey SUV 2012,Midsize,1
7,00008_Dodge Charger Sedan 2012.jpg,Dodge Charger Sedan 2012,Midsize,0
8,00009_Mitsubishi Lancer Sedan 2012.jpg,Mitsubishi Lancer Sedan 2012,Midsize,1
9,00010_Chevrolet Traverse SUV 2012.jpg,Chevrolet Traverse SUV 2012,Midsize,0
10,00011_Buick Verano Sedan 2012.jpg,Buick Verano Sedan 2012,Midsize,0
11,00012_Toyota Sequoia SUV 2012.jpg,Toyota Sequoia SUV 2012,Large,0
12,00013_Hyundai Elantra Sedan 2007.jpg,Hyundai Elantra Sedan 2007,Midsize,0
13,00014_Dodge Caravan Minivan 1997.jpg,Dodge Caravan Minivan 1997,Large,0
14,00015_Volvo C30 Hatchback 2012.jpg,Volvo C30 Hatchback 2012,Small,0
15,00016_Plymouth Neon Coupe 1999.jpg,Plymouth Neon Coupe 1999,Midsize,0
17,00018_Chevrolet Malibu Sedan 2007.jpg,Chevrolet Malibu Sedan 2007,Midsize,0
20,00021_Chrysler 300 SRT-8 2010.jpg,Chrysler 300 SRT-8 2010,Midsize,0
22,00023_GMC Yukon Hybrid SUV 2012.jpg,GMC Yukon Hybrid SUV 2012,Large,0
23,00024_Nissan Juke Hatchback 2012.jpg,Nissan Juke Hatchback 2012,Large,0
24,00025_Volvo 240 Sedan 1993.jpg,Volvo 240 Sedan 1993,Midsize,0
25,00026_Hyundai Sonata Hybrid Sedan 2012.jpg,Hyundai Sonata Hybrid Sedan 2012,Midsize,0
26,00027_Suzuki SX4 Sedan 2012.jpg,Suzuki SX4 Sedan 2012,Midsize,0
27,00028_Dodge Ram Pickup 3500 Crew Cab 2010.jpg,Dodge Ram Pickup 3500 Crew Cab 2010,Large,0
29,00030_Volvo 240 Sedan 1993.jpg,Volvo 240 Sedan 1993,Midsize,1
30,00031_Land Rover Range Rover SUV 2012.jpg,Land Rover Range Rover SUV 2012,Large,0
31,00032_Hyundai Elantra Touring Hatchback 2012.jpg,Hyundai Elantra Touring Hatchback 2012,Midsize,0
33,00034_Hyundai Veracruz SUV 2012.jpg,Hyundai Veracruz SUV 2012,Large,0
34,00035_Land Rover Range Rover SUV 2012.jpg,Land Rover Range Rover SUV 2012,Large,0
37,00038_Dodge Charger SRT-8 2009.jpg,Dodge Charger SRT-8 2009,Midsize,0
38,00039_Fisker Karma Sedan 2012.jpg,Fisker Karma Sedan 2012,Midsize,1
39,00040_Infiniti QX56 SUV 2011.jpg,Infiniti QX56 SUV 2011,Large,0
41,00042_Volkswagen Golf Hatchback 1991.jpg,Volkswagen Golf Hatchback 1991,Small,0
42,00043_GMC Savana Van 2012.jpg,GMC Savana Van 2012,Large,0
44,00045_Toyota Sequoia SUV 2012.jpg,Toyota Sequoia SUV 2012,Large,1
46,00047_Volvo 240 Sedan 1993.jpg,Volvo 240 Sedan 1993,Midsize,0
47,00048_Rolls-Royce Phantom Sedan 2012.jpg,Rolls-Royce Phantom Sedan 2012,Midsize,0
48,00049_Porsche Panamera Sedan 2012.jpg,Porsche Panamera Sedan 2012,Small,1
50,00051_Dodge Dakota Club Cab 2007.jpg,Dodge Dakota Club Cab 2007,Large,0
51,00052_Jeep Grand Cherokee SUV 2012.jpg,Jeep Grand Cherokee SUV 2012,Large,0
53,00054_Dodge Charger SRT-8 2009.jpg,Dodge Charger SRT-8 2009,Midsize,0
55,00056_Cadillac Escalade EXT Crew Cab 2007.jpg,Cadillac Escalade EXT Crew Cab 2007,Large,0
57,00058_Chevrolet Avalanche Crew Cab 2012.jpg,Chevrolet Avalanche Crew Cab 2012,Large,0
58,00059_Dodge Dakota Crew Cab 2010.jpg,Dodge Dakota Crew Cab 2010,Large,0
60,00061_Ford F-150 Regular Cab 2007.jpg,Ford F-150 Regular Cab 2007,Large,0
61,00062_Volkswagen Golf Hatchback 2012.jpg,Volkswagen Golf Hatchback 2012,Small,0
62,00063_Ferrari FF Coupe 2012.jpg,Ferrari FF Coupe 2012,Small,1
63,00064_Toyota Camry Sedan 2012.jpg,Toyota Camry Sedan 2012,Midsize,0
65,00066_Audi 100 Sedan 1994.jpg,Audi 100 Sedan 1994,Midsize,0
66,00067_Ford Ranger SuperCab 2011.jpg,Ford Ranger SuperCab 2011,Large,0
67,00068_GMC Canyon Extended Cab 2012.jpg,GMC Canyon Extended Cab 2012,Large,0
68,00069_Acura TSX Sedan 2012.jpg,Acura TSX Sedan 2012,Midsize,0
69,00070_BMW 3 Series Sedan 2012.jpg,BMW 3 Series Sedan 2012,Midsize,0
70,00071_Honda Odyssey Minivan 2012.jpg,Honda Odyssey Minivan 2012,Large,0
71,00072_Dodge Durango SUV 2012.jpg,Dodge Durango SUV 2012,Large,0
72,00073_Ford F-450 Super Duty Crew Cab 2012.jpg,Ford F-450 Super Duty Crew Cab 2012,Large,0
73,00074_Ford F-450 Super Duty Crew Cab 2012.jpg,Ford F-450 Super Duty Crew Cab 2012,Large,0
74,00075_Toyota Corolla Sedan 2012.jpg,Toyota Corolla Sedan 2012,Midsize,0
76,00077_Ford Edge SUV 2012.jpg,Ford Edge SUV 2012,Midsize,0
78,00079_Hyundai Veracruz SUV 2012.jpg,Hyundai Veracruz SUV 2012,Large,0
79,00080_Ford Ranger SuperCab 2011.jpg,Ford Ranger SuperCab 2011,Large,0
83,00084_Ford E-Series Wagon Van 2012.jpg,Ford E-Series Wagon Van 2012,Large,0
84,00085_Buick Verano Sedan 2012.jpg,Buick Verano Sedan 2012,Midsize,0
85,00086_Jeep Patriot SUV 2012.jpg,Jeep Patriot SUV 2012,Large,0
86,00087_Buick Verano Sedan 2012.jpg,Buick Verano Sedan 2012,Midsize,1
87,00088_Nissan Juke Hatchback 2012.jpg,Nissan Juke Hatchback 2012,Large,0
88,00089_Audi S6 Sedan 2011.jpg,Audi S6 Sedan 2011,Midsize,0
89,00090_Ford F-150 Regular Cab 2007.jpg,Ford F-150 Regular Cab 2007,Large,0
90,00091_Mercedes-Benz S-Class Sedan 2012.jpg,Mercedes-Benz S-Class Sedan 2012,Midsize,0
91,00092_Hyundai Sonata Sedan 2012.jpg,Hyundai Sonata Sedan 2012,Midsize,0
94,00095_GMC Canyon Extended Cab 2012.jpg,GMC Canyon Extended Cab 2012,Large,0
97,00098_Cadillac CTS-V Sedan 2012.jpg,Cadillac CTS-V Sedan 2012,Midsize,0
98,00099_BMW X3 SUV 2012.jpg,BMW X3 SUV 2012,Large,1
99,00100_Chevrolet Express Van 2007.jpg,Chevrolet Express Van 2007,Large,0
100,00101_Volvo C30 Hatchback 2012.jpg,Volvo C30 Hatchback 2012,Small,0
101,00102_Fisker Karma Sedan 2012.jpg,Fisker Karma Sedan 2012,Midsize,0
102,00103_Chevrolet Impala Sedan 2007.jpg,Chevrolet Impala Sedan 2007,Midsize,0
103,00104_Chevrolet Silverado 1500 Extended Cab 2012.jpg,Chevrolet Silverado 1500 Extended Cab 2012,Large,0
104,00105_Hyundai Veracruz SUV 2012.jpg,Hyundai Veracruz SUV 2012,Large,0
106,00107_Hyundai Santa Fe SUV 2012.jpg,Hyundai Santa Fe SUV 2012,Large,0
108,00109_GMC Acadia SUV 2012.jpg,GMC Acadia SUV 2012,Large,0
111,00112_Hyundai Genesis Sedan 2012.jpg,Hyundai Genesis Sedan 2012,Midsize,0
112,00113_Hyundai Veracruz SUV 2012.jpg,Hyundai Veracruz SUV 2012,Large,0
113,00114_Chevrolet Express Van 2007.jpg,Chevrolet Express Van 2007,Large,0
114,00115_Dodge Caliber Wagon 2012.jpg,Dodge Caliber Wagon 2012,Small,0
115,00116_Ford Edge SUV 2012.jpg,Ford Edge SUV 2012,Midsize,0
117,00118_Rolls-Royce Phantom Sedan 2012.jpg,Rolls-Royce Phantom Sedan 2012,Midsize,1
118,00119_Jeep Liberty SUV 2012.jpg,Jeep Liberty SUV 2012,Large,0
120,00121_Ford Expedition EL SUV 2009.jpg,Ford Expedition EL SUV 2009,Large,0
123,00124_Cadillac Escalade EXT Crew Cab 2007.jpg,Cadillac Escalade EXT Crew Cab 2007,Large,1
124,00125_BMW 3 Series Sedan 2012.jpg,BMW 3 Series Sedan 2012,Midsize,0
126,00127_Chrysler 300 SRT-8 2010.jpg,Chrysler 300 SRT-8 2010,Midsize,0
128,00129_Hyundai Accent Sedan 2012.jpg,Hyundai Accent Sedan 2012,Midsize,0
129,00130_Isuzu Ascender SUV 2008.jpg,Isuzu Ascender SUV 2008,Large,0
131,00132_Dodge Journey SUV 2012.jpg,Dodge Journey SUV 2012,Midsize,0
132,00133_Hyundai Elantra Sedan 2007.jpg,Hyundai Elantra Sedan 2007,Midsize,0
134,00135_Chevrolet Traverse SUV 2012.jpg,Chevrolet Traverse SUV 2012,Midsize,0
135,00136_GMC Canyon Extended Cab 2012.jpg,GMC Canyon Extended Cab 2012,Large,0
136,00137_Scion xD Hatchback 2012.jpg,Scion xD Hatchback 2012,Small,0
138,00139_Suzuki SX4 Sedan 2012.jpg,Suzuki SX4 Sedan 2012,Midsize,0
139,00140_Volkswagen Golf Hatchback 1991.jpg,Volkswagen Golf Hatchback 1991,Small,0
140,00141_Bentley Arnage Sedan 2009.jpg,Bentley Arnage Sedan 2009,Midsize,0
141,00142_Chevrolet HHR SS 2010.jpg,Chevrolet HHR SS 2010,Small,0
142,00143_Land Rover LR2 SUV 2012.jpg,Land Rover LR2 SUV 2012,Large,0
143,00144_Chevrolet Express Van 2007.jpg,Chevrolet Express Van 2007,Large,1
144,00145_Hyundai Azera Sedan 2012.jpg,Hyundai Azera Sedan 2012,Midsize,0
146,00147_Chrysler Aspen SUV 2009.jpg,Chrysler Aspen SUV 2009,Large,1
147,00148_Toyota Camry Sedan 2012.jpg,Toyota Camry Sedan 2012,Midsize,1
151,00152_Buick Regal GS 2012.jpg,Buick Regal GS 2012,Midsize,0
152,00153_BMW 3 Series Wagon 2012.jpg,BMW 3 Series Wagon 2012,Midsize,0
153,00154_Audi 100 Wagon 1994.jpg,Audi 100 Wagon 1994,Midsize,0
154,00155_Jeep Compass SUV 2012.jpg,Jeep Compass SUV 2012,Midsize,1
155,00156_Ram CV Cargo Van Minivan 2012.jpg,Ram C/V Cargo Van Minivan 2012,Large,0
156,00157_Hyundai Sonata Sedan 2012.jpg,Hyundai Sonata Sedan 2012,Midsize,0
158,00159_Audi S4 Sedan 2007.jpg,Audi S4 Sedan 2007,Midsize,0
160,00161_Chevrolet Malibu Sedan 2007.jpg,Chevrolet Malibu Sedan 2007,Midsize,0
161,00162_Rolls-Royce Ghost Sedan 2012.jpg,Rolls-Royce Ghost Sedan 2012,Midsize,0
162,00163_AM General Hummer SUV 2000.jpg,AM General Hummer SUV 2000,Large,0
163,00164_BMW X3 SUV 2012.jpg,BMW X3 SUV 2012,Large,0
165,00166_Ford Freestar Minivan 2007.jpg,Ford Freestar Minivan 2007,Large,0
166,00167_Bentley Mulsanne Sedan 2011.jpg,Bentley Mulsanne Sedan 2011,Midsize,0
167,00168_Bentley Arnage Sedan 2009.jpg,Bentley Arnage Sedan 2009,Midsize,0
169,00170_GMC Savana Van 2012.jpg,GMC Savana Van 2012,Large,0
172,00173_GMC Yukon Hybrid SUV 2012.jpg,GMC Yukon Hybrid SUV 2012,Large,0
173,00174_Chevrolet Silverado 1500 Hybrid Crew Cab 2012.jpg,Chevrolet Silverado 1500 Hybrid Crew Cab 2012,Large,0
174,00175_Ford E-Series Wagon Van 2012.jpg,Ford E-Series Wagon Van 2012,Large,0
176,00177_Buick Enclave SUV 2012.jpg,Buick Enclave SUV 2012,Large,0
178,00179_Land Rover LR2 SUV 2012.jpg,Land Rover LR2 SUV 2012,Large,1
180,00181_Chevrolet TrailBlazer SS 2009.jpg,Chevrolet TrailBlazer SS 2009,Large,0
181,00182_Nissan Juke Hatchback 2012.jpg,Nissan Juke Hatchback 2012,Large,0
184,00185_Hyundai Veracruz SUV 2012.jpg,Hyundai Veracruz SUV 2012,Large,0
185,00186_HUMMER H2 SUT Crew Cab 2009.jpg,HUMMER H2 SUT Crew Cab 2009,Large,0
188,00189_Suzuki SX4 Hatchback 2012.jpg,Suzuki SX4 Hatchback 2012,Small,0
190,00191_Isuzu Ascender SUV 2008.jpg,Isuzu Ascender SUV 2008,Large,0
192,00193_Buick Rainier SUV 2007.jpg,Buick Rainier SUV 2007,Large,0
193,00194_Rolls-Royce Ghost Sedan 2012.jpg,Rolls-Royce Ghost Sedan 2012,Midsize,0
195,00196_Volkswagen Golf Hatchback 2012.jpg,Volkswagen Golf Hatchback 2012,Small,0
196,00197_Ford Edge SUV 2012.jpg,Ford Edge SUV 2012,Midsize,0
